City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed
cloquet,CLOQUET,1583030738.0,46.72,-92.46,79.0,30.2,1,3.36
albany,ALBANY,1583030702.0,42.6,-73.97,57.0,21.2,20,9.17
cape town,CAPE TOWN,1583030722.0,-33.93,18.42,82.0,64.99,0,2.24
atuona,ATUONA,1583030739.0,-9.8,-139.03,77.0,81.84,16,17.45
narsaq,NARSAQ,1583030739.0,60.92,-46.05,35.0,6.8,0,4.7
vila velha,VILA VELHA,1583030594.0,-20.33,-40.29,94.0,77.0,75,3.36
cayenne,CAYENNE,1583030739.0,4.93,-52.33,78.0,78.8,90,4.7
hamilton,HAMILTON,1583030641.0,39.18,-84.53,63.0,30.2,1,4.12
tangkak,TANGKAK,1583030739.0,2.27,102.55,65.0,82.4,20,11.41
rikitea,RIKITEA,1583030740.0,-23.12,-134.97,80.0,79.66,100,15.3
fortuna,FORTUNA,1583030509.0,40.6,-124.16,81.0,48.2,40,16.11
ushuaia,USHUAIA,1583030740.0,-54.8,-68.3,76.0,51.8,40,9.17
ribeira grande,RIBEIRA GRANDE,1583030740.0,38.52,-28.7,88.0,57.99,89,20.76
cabra,CABRA,1583030740.0,37.47,-4.44,100.0,55.4,75,6.93
souillac,SOUILLAC,1583030599.0,-20.52,57.52,94.0,77.0,40,3.47
bredasdorp,BREDASDORP,1583030740.0,-34.53,20.04,87.0,64.99,14,9.17
barrow,BARROW,1583030623.0,71.29,-156.79,83.0,-11.2,1,6.93
bluff,BLUFF,1583030741.0,-46.6,168.33,46.0,69.55,95,4.81
conde,CONDE,1583030741.0,-7.26,-34.91,83.0,80.6,20,1.12
bermejo,BERMEJO,1583030741.0,-32.88,-68.8,39.0,80.6,15,8.21
coahuayana,COAHUAYANA,1583030473.0,18.73,-103.68,64.0,75.2,5,4.68
biloela,BILOELA,1583030741.0,-24.42,150.5,37.0,87.69,0,10.58
hithadhoo,HITHADHOO,1583030741.0,-0.6,73.08,78.0,82.69,54,13.69
gravdal,GRAVDAL,1583030742.0,68.12,13.5,66.0,29.59,35,20.42
hobart,HOBART,1583030620.0,-42.88,147.33,43.0,72.0,100,6.93
dwarka,DWARKA,1583030742.0,22.24,68.97,82.0,72.63,0,6.64
hilo,HILO,1583030742.0,19.73,-155.09,54.0,78.8,20,13.87
guerrero negro,GUERRERO NEGRO,1583030742.0,27.98,-114.06,51.0,63.55,95,11.34
castro,CASTRO,1583030742.0,-24.79,-50.01,92.0,58.86,59,8.52
kulachi,KULACHI,1583030743.0,31.93,70.46,53.0,62.62,10,5.37
nadvoitsy,NADVOITSY,1583030743.0,63.87,34.32,88.0,8.78,28,4.0
taksimo,TAKSIMO,1583030720.0,56.34,114.88,83.0,9.72,99,3.13
guanica,GUANICA,1583030743.0,17.97,-66.91,79.0,78.01,75,6.93
yellowknife,YELLOWKNIFE,1583030743.0,62.46,-114.35,75.0,-11.99,20,8.05
torbay,TORBAY,1583030457.0,47.67,-52.73,73.0,23.0,5,10.29
silver city,SILVER CITY,1583030743.0,32.77,-108.28,36.0,53.01,1,9.17
vostok,VOSTOK,1583030517.0,46.49,135.88,87.0,25.05,99,3.33
xiangfan,XIANGFAN,1583030744.0,32.04,112.14,51.0,58.77,0,6.62
nalut,NALUT,1583030744.0,30.33,10.85,26.0,56.66,74,7.54
sinnamary,SINNAMARY,1583030744.0,5.38,-52.95,78.0,79.25,0,17.47
punta arenas,PUNTA ARENAS,1583030744.0,-53.15,-70.92,87.0,55.4,100,14.99
saint george,SAINT GEORGE,1583030744.0,37.1,-113.58,45.0,57.2,71,1.21
komsomolskiy,KOMSOMOLSKIY,1583030744.0,40.43,71.72,61.0,37.4,0,4.7
asau,ASAU,1583030466.0,46.43,26.4,70.0,35.01,100,12.75
bontang,BONTANG,1583030745.0,0.13,117.5,70.0,83.89,90,9.71
puerto ayora,PUERTO AYORA,1583030745.0,-0.74,-90.35,100.0,80.01,22,7.0
truckee,TRUCKEE,1583030745.0,39.33,-120.18,32.0,51.8,1,8.05
lorengau,LORENGAU,1583030745.0,-2.02,147.27,74.0,83.84,100,3.2
mahebourg,MAHEBOURG,1583030745.0,-20.41,57.7,94.0,77.0,40,3.47
jamestown,JAMESTOWN,1583030459.0,42.1,-79.24,78.0,27.0,20,10.29
thompson,THOMPSON,1583030508.0,55.74,-97.86,92.0,23.0,90,8.05
half moon bay,HALF MOON BAY,1583030746.0,37.46,-122.43,71.0,54.0,90,17.22
ban nahin,BAN NAHIN,1583030746.0,18.24,104.21,36.0,89.37,0,1.95
ilulissat,ILULISSAT,1583030746.0,69.22,-51.1,51.0,-14.8,29,3.36
pochutla,POCHUTLA,1583030695.0,15.74,-96.47,88.0,82.4,75,5.82
sabha,SABHA,1583030746.0,27.04,14.43,34.0,58.01,0,9.37
ust-ilimsk,UST-ILIMSK,1583030625.0,58.0,102.66,91.0,16.07,99,3.71
port lincoln,PORT LINCOLN,1583030747.0,-34.73,135.87,39.0,75.6,100,13.18
asyut,ASYUT,1583030747.0,27.18,31.18,70.0,49.12,0,8.97
aksarka,AKSARKA,1583030747.0,66.56,67.8,94.0,27.64,100,24.94
podyuga,PODYUGA,1583030747.0,61.09,40.86,89.0,15.87,98,10.6
sao gabriel da cachoeira,SAO GABRIEL DA CACHOEIRA,1583030747.0,-0.13,-67.09,96.0,73.51,19,0.51
florianopolis,FLORIANOPOLIS,1583030570.0,-27.61,-48.5,100.0,69.8,40,2.24
severo-kurilsk,SEVERO-KURILSK,1583030491.0,50.68,156.12,80.0,25.27,97,2.82
tofield,TOFIELD,1583030748.0,53.37,-112.67,92.0,25.0,90,18.34
olinda,OLINDA,1583030748.0,-8.01,-34.86,83.0,80.6,40,5.82
paamiut,PAAMIUT,1583030748.0,61.99,-49.67,54.0,-2.13,0,7.9
kemijarvi,KEMIJARVI,1583030748.0,66.71,27.43,81.0,8.08,36,2.86
luena,LUENA,1583030748.0,-11.78,19.92,86.0,59.81,100,4.65
wau,WAU,1583030748.0,7.7,28.0,20.0,69.6,0,4.74
tuktoyaktuk,TUKTOYAKTUK,1583030748.0,69.45,-133.04,74.0,-23.8,20,9.17
cherskiy,CHERSKIY,1583030469.0,68.75,161.3,90.0,1.2,0,4.41
